rl	V(a)*I(Rl)
1.000000000000000e+00	9.802961e-01
2.000000000000000e+00	1.922338e+00
3.000000000000000e+00	2.827788e+00
4.000000000000000e+00	3.698225e+00
5.000000000000000e+00	4.535147e+00
6.000000000000000e+00	5.339979e+00
7.000000000000000e+00	6.114071e+00
8.000000000000000e+00	6.858710e+00
9.000000000000000e+00	7.575120e+00
1.000000000000000e+01	8.264463e+00
1.100000000000000e+01	8.927847e+00
1.200000000000000e+01	9.566327e+00
1.300000000000000e+01	1.018091e+01
1.400000000000000e+01	1.077255e+01
1.500000000000000e+01	1.134215e+01
1.600000000000000e+01	1.189061e+01
1.700000000000000e+01	1.241873e+01
1.800000000000000e+01	1.292732e+01
1.900000000000000e+01	1.341713e+01
2.000000000000000e+01	1.388889e+01
2.100000000000000e+01	1.434328e+01
2.200000000000000e+01	1.478097e+01
2.300000000000000e+01	1.520259e+01
2.400000000000000e+01	1.560874e+01
2.500000000000000e+01	1.600000e+01
2.600000000000000e+01	1.637692e+01
2.700000000000000e+01	1.674003e+01
2.800000000000000e+01	1.708984e+01
2.900000000000000e+01	1.742684e+01
3.000000000000000e+01	1.775148e+01
3.100000000000000e+01	1.806421e+01
3.200000000000000e+01	1.836547e+01
3.300000000000000e+01	1.865566e+01
3.400000000000000e+01	1.893517e+01
3.500000000000000e+01	1.920439e+01
3.600000000000000e+01	1.946367e+01
3.700000000000000e+01	1.971336e+01
3.800000000000000e+01	1.995379e+01
3.900000000000000e+01	2.018529e+01
4.000000000000000e+01	2.040816e+01
4.100000000000000e+01	2.062271e+01
4.200000000000000e+01	2.082920e+01
4.300000000000000e+01	2.102792e+01
4.400000000000000e+01	2.121913e+01
4.500000000000000e+01	2.140309e+01
4.600000000000000e+01	2.158003e+01
4.700000000000000e+01	2.175020e+01
4.800000000000000e+01	2.191381e+01
4.900000000000000e+01	2.207108e+01
5.000000000000000e+01	2.222222e+01
5.100000000000000e+01	2.236744e+01
5.200000000000000e+01	2.250692e+01
5.300000000000000e+01	2.264086e+01
5.400000000000000e+01	2.276944e+01
5.500000000000000e+01	2.289282e+01
5.600000000000000e+01	2.301118e+01
5.700000000000000e+01	2.312467e+01
5.800000000000000e+01	2.323346e+01
5.900000000000000e+01	2.333768e+01
6.000000000000000e+01	2.343750e+01
6.100000000000000e+01	2.353304e+01
6.200000000000000e+01	2.362445e+01
6.300000000000000e+01	2.371185e+01
6.400000000000000e+01	2.379536e+01
6.500000000000000e+01	2.387512e+01
6.600000000000000e+01	2.395123e+01
6.700000000000000e+01	2.402381e+01
6.800000000000000e+01	2.409297e+01
6.900000000000000e+01	2.415882e+01
7.000000000000000e+01	2.422145e+01
7.100000000000000e+01	2.428098e+01
7.200000000000000e+01	2.433748e+01
7.300000000000000e+01	2.439106e+01
7.400000000000000e+01	2.444180e+01
7.500000000000000e+01	2.448980e+01
7.600000000000000e+01	2.453512e+01
7.700000000000000e+01	2.457787e+01
7.800000000000000e+01	2.461810e+01
7.900000000000000e+01	2.465591e+01
8.000000000000000e+01	2.469136e+01
8.100000000000000e+01	2.472452e+01
8.200000000000000e+01	2.475547e+01
8.300000000000000e+01	2.478426e+01
8.400000000000000e+01	2.481096e+01
8.500000000000000e+01	2.483565e+01
8.600000000000000e+01	2.485837e+01
8.700000000000000e+01	2.487918e+01
8.800000000000000e+01	2.489814e+01
8.900000000000000e+01	2.491532e+01
9.000000000000000e+01	2.493075e+01
9.100000000000000e+01	2.494449e+01
9.200000000000000e+01	2.495660e+01
9.300000000000000e+01	2.496711e+01
9.400000000000000e+01	2.497609e+01
9.500000000000000e+01	2.498356e+01
9.600000000000000e+01	2.498959e+01
9.700000000000000e+01	2.499420e+01
9.800000000000000e+01	2.499745e+01
9.900000000000000e+01	2.499937e+01
1.000000000000000e+02	2.500000e+01
1.010000000000000e+02	2.499938e+01
1.020000000000000e+02	2.499755e+01
1.030000000000000e+02	2.499454e+01
1.040000000000000e+02	2.499039e+01
1.050000000000000e+02	2.498513e+01
1.060000000000000e+02	2.497879e+01
1.070000000000000e+02	2.497141e+01
1.080000000000000e+02	2.496302e+01
1.090000000000000e+02	2.495364e+01
1.100000000000000e+02	2.494331e+01
1.110000000000000e+02	2.493205e+01
1.120000000000000e+02	2.491990e+01
1.130000000000000e+02	2.490687e+01
1.140000000000000e+02	2.489300e+01
1.150000000000000e+02	2.487831e+01
1.160000000000000e+02	2.486283e+01
1.170000000000000e+02	2.484657e+01
1.180000000000000e+02	2.482956e+01
1.190000000000000e+02	2.481182e+01
1.200000000000000e+02	2.479339e+01
1.210000000000000e+02	2.477427e+01
1.220000000000000e+02	2.475448e+01
1.230000000000000e+02	2.473406e+01
1.240000000000000e+02	2.471301e+01
1.250000000000000e+02	2.469136e+01
1.260000000000000e+02	2.466912e+01
1.270000000000000e+02	2.464632e+01
1.280000000000000e+02	2.462296e+01
1.290000000000000e+02	2.459907e+01
1.300000000000000e+02	2.457467e+01
1.310000000000000e+02	2.454976e+01
1.320000000000000e+02	2.452438e+01
1.330000000000000e+02	2.449852e+01
1.340000000000000e+02	2.447220e+01
1.350000000000000e+02	2.444545e+01
1.360000000000000e+02	2.441827e+01
1.370000000000000e+02	2.439068e+01
1.380000000000000e+02	2.436269e+01
1.390000000000000e+02	2.433431e+01
1.400000000000000e+02	2.430555e+01
1.410000000000000e+02	2.427644e+01
