rx	I(R5)
1.000000000000000e+02	-7.261609e-01
2.000000000000000e+02	-4.267425e-01
3.000000000000000e+02	-2.921213e-01
4.000000000000000e+02	-2.156044e-01
5.000000000000000e+02	-1.662510e-01
6.000000000000000e+02	-1.317771e-01
7.000000000000000e+02	-1.063351e-01
8.000000000000000e+02	-8.678672e-02
9.000000000000000e+02	-7.129662e-02
1.000000000000000e+03	-5.871991e-02
1.100000000000000e+03	-4.830529e-02
1.200000000000000e+03	-3.953937e-02
1.300000000000000e+03	-3.205936e-02
1.400000000000000e+03	-2.560164e-02
1.500000000000000e+03	-1.997004e-02
1.600000000000000e+03	-1.501558e-02
1.700000000000000e+03	-1.062304e-02
1.800000000000000e+03	-6.701963e-03
1.900000000000000e+03	-3.180308e-03
2.000000000000000e+03	-2.842171e-14
2.100000000000000e+03	2.886294e-03
2.200000000000000e+03	5.517546e-03
2.300000000000000e+03	7.926129e-03
2.400000000000000e+03	1.013916e-02
2.500000000000000e+03	1.217953e-02
2.600000000000000e+03	1.406668e-02
2.700000000000000e+03	1.581724e-02
2.800000000000000e+03	1.744554e-02
2.900000000000000e+03	1.896394e-02
3.000000000000000e+03	2.038320e-02
