r	V(a1)	V(a1)-V(a2)	V(a1)-V(a3)	V(a2)	V(a3)
1.000000000000000e-01	3.225806e-01	0.000000e+00	3.224611e-05	3.225806e-01	3.225484e-01
2.000000000000000e-01	6.250000e-01	0.000000e+00	6.252527e-05	6.250000e-01	6.249375e-01
3.000000000000000e-01	9.090909e-01	0.000000e+00	9.095669e-05	9.090909e-01	9.090000e-01
4.000000000000000e-01	1.176471e+00	0.000000e+00	1.176596e-04	1.176471e+00	1.176353e+00
5.000000000000000e-01	1.428571e+00	0.000000e+00	1.429319e-04	1.428571e+00	1.428429e+00
6.000000000000000e-01	1.666667e+00	0.000000e+00	1.666546e-04	1.666667e+00	1.666500e+00
7.000000000000000e-01	1.891892e+00	0.000000e+00	1.891851e-04	1.891892e+00	1.891703e+00
7.999999999999999e-01	2.105263e+00	0.000000e+00	2.105236e-04	2.105263e+00	2.105053e+00
8.999999999999999e-01	2.307692e+00	0.000000e+00	2.307892e-04	2.307692e+00	2.307462e+00
9.999999999999999e-01	2.500000e+00	0.000000e+00	2.501011e-04	2.500000e+00	2.499750e+00
1.100000000000000e+00	2.682927e+00	0.000000e+00	2.684593e-04	2.682927e+00	2.682658e+00
1.200000000000000e+00	2.857143e+00	0.000000e+00	2.858639e-04	2.857143e+00	2.856857e+00
1.300000000000000e+00	3.023256e+00	0.000000e+00	3.023148e-04	3.023256e+00	3.022954e+00
1.400000000000000e+00	3.181818e+00	0.000000e+00	3.182888e-04	3.181818e+00	3.181500e+00
1.500000000000000e+00	3.333333e+00	0.000000e+00	3.333092e-04	3.333333e+00	3.333000e+00
1.600000000000000e+00	3.478261e+00	0.000000e+00	3.476143e-04	3.478261e+00	3.477913e+00
1.700000000000000e+00	3.617021e+00	0.000000e+00	3.616810e-04	3.617021e+00	3.616660e+00
1.800000000000000e+00	3.750000e+00	0.000000e+00	3.750324e-04	3.750000e+00	3.749625e+00
1.900000000000001e+00	3.877551e+00	0.000000e+00	3.879070e-04	3.877551e+00	3.877163e+00
2.000000000000000e+00	4.000000e+00	0.000000e+00	4.000664e-04	4.000000e+00	3.999600e+00
2.100000000000001e+00	4.117647e+00	0.000000e+00	4.119873e-04	4.117647e+00	4.117235e+00
2.200000000000001e+00	4.230769e+00	0.000000e+00	4.229546e-04	4.230769e+00	4.230346e+00
2.300000000000001e+00	4.339622e+00	0.000000e+00	4.339218e-04	4.339622e+00	4.339189e+00
2.400000000000001e+00	4.444445e+00	0.000000e+00	4.448891e-04	4.444445e+00	4.444000e+00
2.500000000000001e+00	4.545455e+00	0.000000e+00	4.544258e-04	4.545455e+00	4.545000e+00
2.600000000000001e+00	4.642857e+00	0.000000e+00	4.644394e-04	4.642857e+00	4.642393e+00
2.700000000000001e+00	4.736842e+00	0.000000e+00	4.734993e-04	4.736842e+00	4.736369e+00
2.800000000000001e+00	4.827586e+00	0.000000e+00	4.825592e-04	4.827586e+00	4.827104e+00
2.900000000000001e+00	4.915254e+00	0.000000e+00	4.916191e-04	4.915254e+00	4.914762e+00
3.000000000000001e+00	5.000000e+00	0.000000e+00	5.002022e-04	5.000000e+00	4.999500e+00
3.100000000000001e+00	5.081967e+00	0.000000e+00	5.083084e-04	5.081967e+00	5.081459e+00
3.200000000000002e+00	5.161290e+00	0.000000e+00	5.159378e-04	5.161290e+00	5.160774e+00
3.300000000000002e+00	5.238095e+00	0.000000e+00	5.240440e-04	5.238095e+00	5.237571e+00
3.400000000000002e+00	5.312500e+00	0.000000e+00	5.311966e-04	5.312500e+00	5.311969e+00
3.500000000000002e+00	5.384615e+00	0.000000e+00	5.383492e-04	5.384615e+00	5.384077e+00
3.600000000000002e+00	5.454545e+00	0.000000e+00	5.455017e-04	5.454545e+00	5.454000e+00
3.700000000000002e+00	5.522388e+00	0.000000e+00	5.521774e-04	5.522388e+00	5.521836e+00
3.800000000000002e+00	5.588235e+00	0.000000e+00	5.588531e-04	5.588235e+00	5.587677e+00
3.900000000000002e+00	5.652174e+00	0.000000e+00	5.655289e-04	5.652174e+00	5.651608e+00
4.000000000000002e+00	5.714286e+00	0.000000e+00	5.717278e-04	5.714286e+00	5.713714e+00
4.100000000000001e+00	5.774648e+00	0.000000e+00	5.774498e-04	5.774648e+00	5.774070e+00
4.200000000000001e+00	5.833333e+00	0.000000e+00	5.836487e-04	5.833333e+00	5.832750e+00
4.300000000000001e+00	5.890411e+00	0.000000e+00	5.888939e-04	5.890411e+00	5.889822e+00
4.400000000000000e+00	5.945946e+00	0.000000e+00	5.946159e-04	5.945946e+00	5.945351e+00
4.500000000000000e+00	6.000000e+00	0.000000e+00	5.998611e-04	6.000000e+00	5.999400e+00
4.600000000000000e+00	6.052631e+00	0.000000e+00	6.051064e-04	6.052631e+00	6.052026e+00
4.699999999999999e+00	6.103896e+00	0.000000e+00	6.103516e-04	6.103896e+00	6.103286e+00
4.799999999999999e+00	6.153846e+00	0.000000e+00	6.155968e-04	6.153846e+00	6.153231e+00
4.899999999999999e+00	6.202532e+00	0.000000e+00	6.203651e-04	6.202532e+00	6.201911e+00
4.999999999999998e+00	6.250000e+00	0.000000e+00	6.251335e-04	6.250000e+00	6.249375e+00
5.099999999999998e+00	6.296296e+00	0.000000e+00	6.294250e-04	6.296296e+00	6.295667e+00
5.199999999999998e+00	6.341464e+00	0.000000e+00	6.341934e-04	6.341464e+00	6.340829e+00
5.299999999999997e+00	6.385542e+00	0.000000e+00	6.389618e-04	6.385542e+00	6.384903e+00
5.399999999999997e+00	6.428571e+00	0.000000e+00	6.427765e-04	6.428571e+00	6.427928e+00
5.499999999999996e+00	6.470588e+00	0.000000e+00	6.470680e-04	6.470588e+00	6.469941e+00
5.599999999999996e+00	6.511628e+00	0.000000e+00	6.508827e-04	6.511628e+00	6.510977e+00
5.699999999999996e+00	6.551724e+00	0.000000e+00	6.551743e-04	6.551724e+00	6.551069e+00
5.799999999999995e+00	6.590909e+00	0.000000e+00	6.589890e-04	6.590909e+00	6.590250e+00
5.899999999999995e+00	6.629213e+00	0.000000e+00	6.628036e-04	6.629213e+00	6.628551e+00
5.999999999999995e+00	6.666667e+00	0.000000e+00	6.666183e-04	6.666667e+00	6.666000e+00
6.099999999999994e+00	6.703297e+00	0.000000e+00	6.704330e-04	6.703297e+00	6.702626e+00
6.199999999999994e+00	6.739130e+00	0.000000e+00	6.737709e-04	6.739130e+00	6.738457e+00
6.299999999999994e+00	6.774194e+00	0.000000e+00	6.775856e-04	6.774194e+00	6.773516e+00
6.399999999999993e+00	6.808511e+00	0.000000e+00	6.809235e-04	6.808511e+00	6.807830e+00
6.499999999999993e+00	6.842105e+00	0.000000e+00	6.842613e-04	6.842105e+00	6.841421e+00
6.599999999999993e+00	6.875000e+00	0.000000e+00	6.875992e-04	6.875000e+00	6.874312e+00
6.699999999999992e+00	6.907217e+00	0.000000e+00	6.909370e-04	6.907217e+00	6.906526e+00
6.799999999999992e+00	6.938776e+00	0.000000e+00	6.937981e-04	6.938776e+00	6.938082e+00
6.899999999999991e+00	6.969697e+00	0.000000e+00	6.971359e-04	6.969697e+00	6.969000e+00
6.999999999999991e+00	7.000000e+00	0.000000e+00	6.999969e-04	7.000000e+00	6.999300e+00
7.099999999999991e+00	7.029703e+00	0.000000e+00	7.033348e-04	7.029703e+00	7.029000e+00
7.199999999999990e+00	7.058824e+00	0.000000e+00	7.057190e-04	7.058824e+00	7.058118e+00
7.299999999999990e+00	7.087379e+00	0.000000e+00	7.085800e-04	7.087379e+00	7.086670e+00
7.399999999999990e+00	7.115385e+00	0.000000e+00	7.114410e-04	7.115385e+00	7.114673e+00
7.499999999999989e+00	7.142857e+00	0.000000e+00	7.143021e-04	7.142857e+00	7.142143e+00
7.599999999999989e+00	7.169811e+00	0.000000e+00	7.166862e-04	7.169811e+00	7.169095e+00
7.699999999999989e+00	7.196262e+00	0.000000e+00	7.200241e-04	7.196262e+00	7.195542e+00
7.799999999999988e+00	7.222222e+00	0.000000e+00	7.224083e-04	7.222222e+00	7.221500e+00
7.899999999999988e+00	7.247706e+00	0.000000e+00	7.247925e-04	7.247706e+00	7.246982e+00
7.999999999999988e+00	7.272727e+00	0.000000e+00	7.276535e-04	7.272727e+00	7.272000e+00
8.099999999999987e+00	7.297297e+00	0.000000e+00	7.300377e-04	7.297297e+00	7.296567e+00
8.199999999999987e+00	7.321429e+00	0.000000e+00	7.324219e-04	7.321429e+00	7.320696e+00
8.299999999999986e+00	7.345133e+00	0.000000e+00	7.348061e-04	7.345133e+00	7.344398e+00
8.399999999999986e+00	7.368421e+00	0.000000e+00	7.367134e-04	7.368421e+00	7.367684e+00
8.499999999999986e+00	7.391304e+00	0.000000e+00	7.390976e-04	7.391304e+00	7.390565e+00
8.599999999999985e+00	7.413793e+00	0.000000e+00	7.414818e-04	7.413793e+00	7.413052e+00
8.699999999999985e+00	7.435897e+00	0.000000e+00	7.433891e-04	7.435897e+00	7.435154e+00
8.799999999999985e+00	7.457627e+00	0.000000e+00	7.457733e-04	7.457627e+00	7.456882e+00
8.899999999999984e+00	7.478992e+00	0.000000e+00	7.476807e-04	7.478992e+00	7.478244e+00
8.999999999999984e+00	7.500000e+00	0.000000e+00	7.500648e-04	7.500000e+00	7.499250e+00
9.099999999999984e+00	7.520661e+00	0.000000e+00	7.524490e-04	7.520661e+00	7.519909e+00
9.199999999999983e+00	7.540984e+00	0.000000e+00	7.543564e-04	7.540984e+00	7.540229e+00
9.299999999999983e+00	7.560976e+00	0.000000e+00	7.562637e-04	7.560976e+00	7.560219e+00
9.399999999999983e+00	7.580645e+00	0.000000e+00	7.581711e-04	7.580645e+00	7.579887e+00
9.499999999999982e+00	7.600000e+00	0.000000e+00	7.600784e-04	7.600000e+00	7.599240e+00
9.599999999999982e+00	7.619048e+00	0.000000e+00	7.619858e-04	7.619048e+00	7.618286e+00
9.699999999999982e+00	7.637795e+00	0.000000e+00	7.638931e-04	7.637795e+00	7.637032e+00
9.799999999999981e+00	7.656250e+00	0.000000e+00	7.658005e-04	7.656250e+00	7.655484e+00
9.899999999999981e+00	7.674418e+00	0.000000e+00	7.672310e-04	7.674418e+00	7.673651e+00
9.999999999999980e+00	7.692307e+00	0.000000e+00	7.691383e-04	7.692307e+00	7.691538e+00
1.009999999999998e+01	7.709924e+00	0.000000e+00	7.710457e-04	7.709924e+00	7.709153e+00
